PLAYER_NAME,TEAM_ABBREVIATION,GP,FGM,FGA,FTM,FTA,PTS,REB,AST,TOV,STL,BLK
Nikola Jokić,DEN,53,591,1022,261,319,1549,670,550,170,95,34
Shai Gilgeous-Alexander,OKC,57,634,1211,459,514,1844,297,351,149,106,59
Jayson Tatum,BOS,56,505,1115,281,351,1492,485,323,159,63,28
Giannis Antetokounmpo,MIL,46,568,938,277,476,1421,558,268,157,34,59
Cade Cunningham,DET,54,517,1126,228,268,1387,338,512,239,53,41
Domantas Sabonis,SAC,55,430,722,176,235,1093,792,345,167,34,22
LeBron James,LAL,53,505,971,186,243,1318,424,460,208,48,31
Karl-Anthony Towns,NYK,52,468,880,247,295,1291,700,168,134,53,39
Anthony Edwards,MIN,58,526,1204,294,352,1584,348,266,199,67,37
Victor Wembanyama,SAS,46,408,857,158,189,1116,506,168,149,52,176
Trae Young,ATL,55,404,995,343,400,1312,171,628,267,64,11
James Harden,LAC,55,351,892,336,382,1199,322,468,252,82,36
Alperen Sengun,HOU,56,414,852,214,306,1060,591,269,137,65,44
Jalen Brunson,NYK,57,513,1046,329,399,1488,163,423,140,52,5
De'Aaron Fox,SAS,55,485,1049,243,296,1320,269,344,160,88,24
Anthony Davis,DAL,43,410,776,257,327,1107,515,148,94,54,93
Devin Booker,PHX,53,462,1015,331,369,1397,214,363,145,56,14
Tyrese Haliburton,IND,56,358,774,143,167,1029,195,489,98,78,37
Jaren Jackson Jr.,MEM,56,462,930,252,328,1281,334,123,124,72,93
Tyrese Maxey,PHI,50,473,1064,253,288,1359,171,300,122,88,21
Jalen Williams,OKC,55,445,934,170,219,1155,302,282,124,94,40
Nikola Vučević,CHI,56,437,820,98,120,1071,575,190,96,49,37
Tyler Herro,MIA,55,456,990,208,241,1320,301,312,148,46,7
Ivica Zubac,LAC,56,378,617,100,158,856,702,141,94,45,67
Bam Adebayo,MIA,55,362,754,164,223,931,548,235,120,66,41
Donovan Mitchell,CLE,55,464,1019,193,236,1318,235,263,110,74,11
Josh Hart,NYK,55,311,559,126,157,807,539,316,113,83,20
Pascal Siakam,IND,57,445,856,175,232,1159,418,189,72,52,26
Evan Mobley,CLE,52,375,657,165,218,970,481,159,101,45,83
Damian Lillard,MIL,48,373,835,304,331,1217,223,352,142,57,9
Kevin Durant,PHX,46,451,852,227,274,1239,277,194,137,40,62
Stephen Curry,GSW,50,400,899,177,190,1199,222,301,143,53,22
Jamal Murray,DEN,52,411,866,154,177,1098,197,314,115,74,28
Kyrie Irving,DAL,48,436,918,182,200,1196,234,227,108,65,23
Amen Thompson,HOU,56,306,552,153,216,785,457,198,117,77,73
Dyson Daniels,ATL,54,316,663,64,104,756,304,216,100,165,41
Scottie Barnes,TOR,45,338,754,163,210,897,350,279,132,65,49
Darius Garland,CLE,54,412,835,169,194,1152,137,361,134,63,10
Jarrett Allen,CLE,58,322,457,138,188,782,598,113,68,52,54
Jaylen Brown,BOS,49,419,903,192,254,1123,297,232,130,59,13
Jalen Green,HOU,59,451,1052,196,236,1273,260,185,152,48,18
DeMar DeRozan,SAC,53,427,871,256,293,1166,210,204,70,54,23
Josh Giddey,CHI,55,266,579,103,132,717,410,358,153,62,35
Zach LaVine,SAC,51,437,861,177,217,1213,236,227,146,47,11
Austin Reaves,LAL,52,321,719,229,264,1004,225,317,129,60,14
Derrick White,BOS,56,311,696,99,118,913,245,240,92,48,60
Michael Porter Jr.,DEN,56,394,776,105,140,1036,380,123,75,35,25
RJ Barrett,TOR,46,376,790,164,250,1002,295,256,135,39,13
Jordan Poole,WAS,51,349,833,198,226,1073,166,244,167,71,24
Jalen Duren,DET,56,260,373,101,148,621,579,147,102,39,62
