PLAYER_NAME,TEAM_ABBREVIATION,GP,FG3M,FGM,FGA,FTM,FTA,PTS,REB,AST,TOV,STL,BLK,FG3_PCT,FT_PCT,FG_PCT
Nikola Jokić,DEN,69,57,646,1022,341,415,1690,817,678,247,87,47,0.383,0.822,0.632
Luka Dončić,DAL,66,185,719,1449,515,694,2138,569,529,236,90,33,0.342,0.742,0.496
Joel Embiid,PHI,66,66,728,1328,661,771,2183,670,274,226,66,112,0.33,0.857,0.548
Jayson Tatum,BOS,74,240,727,1559,531,622,2225,649,342,213,78,51,0.35,0.854,0.466
Domantas Sabonis,SAC,79,31,577,938,325,438,1510,973,573,230,65,39,0.373,0.742,0.615
Giannis Antetokounmpo,MIL,63,47,707,1278,498,772,1959,742,359,246,52,51,0.275,0.645,0.553
Shai Gilgeous-Alexander,OKC,68,58,704,1381,669,739,2135,329,371,192,112,65,0.345,0.905,0.51
Julius Randle,NYK,77,218,658,1432,402,531,1936,767,316,216,49,21,0.343,0.757,0.459
Anthony Edwards,MIN,79,213,707,1541,319,422,1946,458,350,259,125,58,0.369,0.756,0.459
Trae Young,ATL,73,154,597,1390,566,639,1914,217,741,300,80,9,0.335,0.886,0.429
Pascal Siakam,TOR,71,93,630,1313,367,474,1720,556,415,169,65,36,0.324,0.774,0.48
Nikola Vučević,CHI,82,121,597,1148,132,158,1447,903,265,139,60,57,0.349,0.835,0.52
De'Aaron Fox,SAC,73,119,682,1331,343,440,1826,306,447,181,83,23,0.324,0.78,0.512
DeMar DeRozan,CHI,74,46,657,1303,456,523,1816,343,377,153,83,36,0.324,0.872,0.504
Bam Adebayo,MIA,75,1,602,1114,324,402,1529,688,240,187,88,61,0.083,0.806,0.54
Donovan Mitchell,CLE,68,245,679,1402,319,368,1922,289,301,180,99,27,0.386,0.867,0.484
Anthony Davis,LAL,56,19,542,962,348,444,1451,702,148,122,59,114,0.257,0.784,0.563
Dejounte Murray,ATL,74,133,612,1319,158,190,1515,389,448,160,112,19,0.344,0.832,0.464
Zach LaVine,CHI,77,204,673,1388,363,428,1913,345,327,194,69,18,0.375,0.848,0.485
Evan Mobley,CLE,79,22,525,947,205,304,1277,711,224,146,60,119,0.216,0.674,0.554
Damian Lillard,POR,58,244,556,1202,510,558,1866,277,425,191,50,18,0.371,0.914,0.463
Mikal Bridges,BKN,83,169,593,1267,316,353,1671,364,273,127,91,61,0.382,0.895,0.468
Ja Morant,MEM,61,92,566,1214,372,497,1596,357,493,206,66,16,0.307,0.748,0.466
Jaylen Brown,BOS,67,163,679,1383,263,344,1784,459,232,197,75,26,0.335,0.765,0.491
LeBron James,LAL,55,121,609,1219,251,327,1590,457,375,178,50,32,0.321,0.768,0.5
Kristaps Porziņģis,WAS,65,137,507,1018,354,416,1505,546,174,137,58,100,0.385,0.851,0.498
Fred VanVleet,TOR,69,207,437,1112,254,283,1335,280,495,140,123,38,0.342,0.898,0.393
CJ McCollum,NOP,75,211,587,1344,183,238,1568,328,429,183,70,38,0.389,0.769,0.437
Jimmy Butler III,MIA,64,36,479,888,472,555,1466,375,340,101,117,21,0.35,0.85,0.539
Josh Giddey,OKC,76,76,539,1118,106,145,1260,599,469,211,57,31,0.325,0.731,0.482
Kyrie Irving,DAL,60,188,594,1203,247,273,1623,304,331,128,66,45,0.379,0.905,0.494
Nic Claxton,BKN,76,0,414,587,133,246,961,702,144,96,65,189,0.0,0.541,0.705
James Harden,PHI,58,161,371,842,313,361,1216,354,618,195,71,31,0.385,0.867,0.441
Lauri Markkanen,UTA,66,200,571,1145,349,399,1691,570,123,127,42,38,0.391,0.875,0.499
Jalen Brunson,NYK,68,134,587,1195,325,392,1633,241,421,142,61,15,0.416,0.829,0.491
Scottie Barnes,TOR,77,63,463,1016,190,246,1179,512,371,154,83,61,0.281,0.772,0.456
Stephen Curry,GSW,56,273,559,1133,257,281,1648,341,352,179,52,20,0.427,0.915,0.493
Darius Garland,CLE,69,169,522,1129,277,321,1490,185,538,199,85,9,0.41,0.863,0.462
Brook Lopez,MIL,78,136,477,899,149,190,1239,520,99,107,37,193,0.374,0.784,0.531
Spencer Dinwiddie,BKN,79,181,460,1050,268,330,1369,270,515,145,67,24,0.369,0.812,0.438
Alperen Sengun,HOU,75,19,442,799,206,288,1109,678,291,193,70,70,0.333,0.715,0.553
Russell Westbrook,LAC,73,89,432,991,206,314,1159,423,551,255,76,33,0.311,0.656,0.436
Jrue Holiday,MIL,67,158,490,1023,152,177,1290,341,495,197,79,25,0.384,0.859,0.479
Paolo Banchero,ORL,72,85,479,1122,394,534,1437,497,269,200,60,39,0.298,0.738,0.427
Jordan Poole,GSW,82,214,550,1278,361,415,1675,225,369,252,63,21,0.336,0.87,0.43
Tyrese Haliburton,IND,56,161,412,841,175,201,1160,205,585,141,91,25,0.4,0.871,0.49
Jalen Green,HOU,76,187,566,1359,364,463,1683,284,281,200,59,18,0.338,0.786,0.416
Jaren Jackson Jr.,MEM,63,100,416,822,241,306,1173,426,60,107,65,189,0.355,0.788,0.506
Franz Wagner,ORL,80,130,542,1118,271,322,1485,329,283,167,77,17,0.361,0.842,0.485
Rudy Gobert,MIN,70,0,360,546,219,340,939,814,87,122,56,95,0.0,0.644,0.659
