PLAYER_NAME,TEAM_ABBREVIATION,NBA_FANTASY_PTS,GP,FG3M,FGM,FGA,FTM,FTA,PTS,REB,AST,TOV,STL,BLK,FG3_PCT,FT_PCT,FG_PCT
Nikola Jokić,DEN,4609.2,79,83,822,1411,358,438,2085,976,708,237,108,68,0.359,0.817,0.583
Luka Dončić,DAL,4304.4,70,284,804,1652,478,608,2370,647,686,282,99,38,0.382,0.786,0.487
Giannis Antetokounmpo,MIL,4193.2,73,34,837,1369,514,782,2222,841,476,250,87,79,0.274,0.657,0.611
Anthony Davis,LAL,4076.2,76,29,713,1283,421,516,1876,961,266,159,91,178,0.271,0.816,0.556
Domantas Sabonis,SAC,4040.5,82,33,634,1068,292,415,1593,1120,673,272,74,48,0.379,0.704,0.594
Shai Gilgeous-Alexander,OKC,3938.5,75,95,796,1487,567,649,2254,415,465,162,150,67,0.353,0.874,0.535
Victor Wembanyama,SAS,3605.0,71,128,551,1186,292,367,1522,755,274,260,88,254,0.325,0.796,0.465
LeBron James,LAL,3463.1,71,149,685,1269,303,404,1822,518,589,245,89,38,0.41,0.75,0.54
Kevin Durant,PHX,3429.0,75,168,751,1436,362,423,2032,495,378,244,69,91,0.413,0.856,0.523
Jayson Tatum,BOS,3420.2,74,229,672,1426,414,497,1987,601,364,188,75,43,0.376,0.833,0.471
Jalen Brunson,NYK,3387.1,77,211,790,1648,421,497,2212,278,519,186,70,13,0.401,0.847,0.479
Anthony Edwards,MIN,3360.5,79,190,718,1558,423,506,2049,430,405,241,101,42,0.357,0.836,0.461
De'Aaron Fox,SAC,3350.0,74,214,720,1549,312,423,1966,340,418,194,150,31,0.369,0.738,0.465
Paolo Banchero,ORL,3222.3,80,119,640,1407,405,559,1804,554,431,247,71,47,0.339,0.725,0.455
Dejounte Murray,ATL,3209.2,78,201,672,1463,208,262,1753,416,502,201,111,24,0.363,0.794,0.459
DeMar DeRozan,CHI,3206.5,79,75,650,1355,522,612,1897,340,421,135,90,45,0.333,0.853,0.48
Tyrese Haliburton,IND,3076.2,69,195,500,1048,194,227,1389,271,752,159,83,48,0.364,0.855,0.477
Pascal Siakam,IND,3051.0,80,85,681,1271,290,396,1737,565,342,141,63,25,0.346,0.732,0.536
Chet Holmgren,OKC,3032.6,82,129,505,953,218,275,1357,648,200,131,53,190,0.37,0.793,0.53
Devin Booker,PHX,3007.6,68,152,642,1305,405,457,1841,308,472,178,61,28,0.364,0.886,0.492
Damian Lillard,MIL,2998.0,73,220,541,1277,473,514,1775,320,508,193,72,18,0.354,0.92,0.424
Tyrese Maxey,PHI,2965.1,70,212,638,1419,328,378,1816,258,433,116,69,33,0.373,0.868,0.45
Stephen Curry,GSW,2956.5,74,357,650,1445,299,324,1956,330,379,210,54,28,0.408,0.923,0.45
Bam Adebayo,MIA,2947.4,71,15,530,1017,292,387,1367,737,278,162,81,66,0.357,0.755,0.521
Nikola Vučević,CHI,2922.2,76,92,586,1211,106,129,1370,801,254,120,50,60,0.294,0.822,0.484
Rudy Gobert,MIN,2916.4,76,0,406,614,249,390,1061,982,102,118,52,162,0.0,0.638,0.661
Kawhi Leonard,LAC,2869.2,68,140,610,1162,253,286,1613,416,244,119,111,59,0.417,0.885,0.525
Fred VanVleet,HOU,2841.1,73,227,423,1018,197,229,1270,278,589,126,101,59,0.387,0.86,0.416
Jarrett Allen,CLE,2840.2,77,0,519,819,233,314,1271,811,210,121,53,81,0.0,0.742,0.634
Paul George,LAC,2826.6,74,243,582,1236,264,291,1671,388,262,153,113,37,0.413,0.907,0.471
Zion Williamson,NOP,2792.2,70,6,624,1094,347,494,1601,406,352,193,76,47,0.333,0.702,0.57
James Harden,LAC,2772.8,72,186,352,822,302,344,1192,369,614,185,77,57,0.381,0.878,0.428
Alperen Sengun,HOU,2709.8,63,33,527,982,244,352,1331,589,312,162,76,46,0.297,0.693,0.537
Mikal Bridges,BKN,2669.9,82,220,564,1294,258,317,1606,372,299,164,81,30,0.372,0.814,0.436
Scottie Barnes,TOR,2652.3,60,101,447,942,196,251,1191,494,363,165,75,88,0.341,0.781,0.475
Jalen Green,HOU,2645.1,82,201,563,1332,283,352,1610,423,291,191,66,28,0.332,0.804,0.423
Jaylen Brown,BOS,2641.9,70,145,627,1256,211,300,1610,387,249,166,83,37,0.354,0.703,0.499
Kyle Kuzma,WAS,2619.8,70,151,608,1313,186,240,1553,464,296,192,37,49,0.336,0.775,0.463
Coby White,CHI,2593.1,79,209,541,1209,218,260,1509,358,405,166,53,18,0.376,0.838,0.447
Jusuf Nurkić,PHX,2592.9,76,22,320,627,167,261,829,837,301,175,81,80,0.244,0.64,0.51
Miles Bridges,CHA,2557.5,69,157,559,1210,174,211,1449,505,231,138,65,33,0.349,0.825,0.462
Jaren Jackson Jr.,MEM,2553.0,66,117,516,1161,337,417,1486,365,154,160,80,106,0.32,0.808,0.444
Myles Turner,IND,2542.6,77,116,476,909,245,317,1313,533,100,109,39,144,0.358,0.773,0.524
Donovan Mitchell,CLE,2537.5,55,182,503,1089,275,318,1463,280,333,154,101,30,0.368,0.865,0.462
D'Angelo Russell,LAL,2534.2,76,226,492,1080,159,192,1369,236,482,156,69,36,0.415,0.828,0.456
Austin Reaves,LAL,2496.4,82,154,457,940,232,272,1300,352,450,174,66,25,0.367,0.853,0.486
Kyrie Irving,DAL,2483.5,58,173,562,1131,190,210,1487,290,299,106,74,28,0.411,0.905,0.497
Franz Wagner,ORL,2456.7,72,94,528,1096,271,319,1421,381,269,137,76,28,0.281,0.85,0.482
Trae Young,ATL,2456.3,54,175,433,1008,348,407,1389,149,583,235,72,11,0.373,0.855,0.43
Cade Cunningham,DET,2444.6,62,119,524,1167,238,274,1405,268,464,212,56,22,0.355,0.869,0.449
