PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_POSITION,NBA_FANTASY_PTS,GP,FG3M,FGM,FGA,FTM,FTA,PTS,REB,AST,TOV,STL,BLK,FG3_PCT,FT_PCT,FG_PCT
Nikola Jokić,DEN,Center,4501.4,70,138,786,1364,361,451,2071,892,716,230,127,45,0.417,0.8,0.576
Shai Gilgeous-Alexander,OKC,Guard,4108.8,76,163,860,1656,601,669,2484,379,486,183,131,77,0.375,0.898,0.519
Giannis Antetokounmpo,MIL,Forward,3845.1,67,14,793,1319,436,707,2036,798,433,206,58,78,0.222,0.617,0.601
James Harden,LAC,Guard,3557.7,79,235,531,1295,505,578,1802,456,687,341,118,55,0.352,0.874,0.41
Jayson Tatum,BOS,Forward-Guard,3459.1,72,250,662,1465,358,440,1932,623,431,209,76,38,0.343,0.814,0.452
Anthony Edwards,MIN,Guard,3432.5,79,320,721,1612,415,496,2177,450,359,249,91,51,0.395,0.837,0.447
Trae Young,ATL,Guard,3398.2,76,218,566,1376,491,561,1841,236,880,355,91,12,0.34,0.875,0.411
Karl-Anthony Towns,NYK,Center-Forward,3367.0,72,142,639,1215,339,409,1759,920,222,192,71,50,0.42,0.829,0.526
Cade Cunningham,DET,Guard,3360.0,70,149,684,1457,313,370,1830,425,638,309,71,53,0.356,0.846,0.469
LeBron James,LAL,Forward,3294.7,70,149,651,1270,259,331,1710,546,575,260,70,39,0.376,0.782,0.513
Alperen Sengun,HOU,Center,3193.2,76,21,567,1143,296,428,1451,786,372,194,84,61,0.233,0.692,0.496
Ivica Zubac,LAC,Center,3181.0,80,0,592,942,156,236,1340,1010,214,127,55,90,0.0,0.661,0.628
Domantas Sabonis,SAC,Forward-Center,3157.9,70,65,527,893,218,289,1337,972,423,202,48,26,0.417,0.754,0.59
Devin Booker,PHX,Guard,3111.5,75,183,654,1420,432,483,1923,305,529,220,67,16,0.332,0.894,0.461
Bam Adebayo,MIA,Center-Forward,3106.3,78,79,540,1113,251,328,1410,749,337,161,98,53,0.357,0.765,0.485
Tyrese Haliburton,IND,Guard,3020.1,73,218,476,1006,189,222,1359,258,673,120,105,49,0.388,0.851,0.473
Tyler Herro,MIA,Guard,3014.8,77,251,651,1378,287,327,1840,399,424,198,69,17,0.375,0.878,0.472
Josh Hart,NYK,Guard,2894.9,77,84,404,770,159,205,1051,737,453,158,119,27,0.333,0.776,0.525
Stephen Curry,GSW,Guard,2851.5,70,311,564,1258,279,299,1718,310,421,200,80,30,0.397,0.933,0.448
Pascal Siakam,IND,Forward,2847.5,78,126,613,1182,226,308,1578,540,263,109,70,42,0.389,0.734,0.519
Nikola Vučević,CHI,Center,2835.0,73,129,550,1038,120,149,1349,735,256,119,61,52,0.402,0.805,0.53
Jaren Jackson Jr.,MEM,Forward-Center,2825.4,74,146,592,1213,311,398,1641,417,148,153,92,113,0.375,0.781,0.488
Evan Mobley,CLE,Center,2822.8,71,85,505,906,221,305,1316,659,226,145,61,113,0.37,0.725,0.557
Dyson Daniels,ATL,Guard,2808.3,76,80,455,923,83,140,1073,449,333,155,229,55,0.34,0.593,0.493
