PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_POSITION,NBA_FANTASY_PTS,GP,FG3M,FGM,FGA,FTM,FTA,PTS,REB,AST,TOV,STL,BLK,FG3_PCT,FT_PCT,FG_PCT,SEASON
Nikola Jokić,DEN,Center,3939.5,72,92,732,1293,342,394,1898,780,599,222,95,48,0.388,0.868,0.566,2020-21
Russell Westbrook,WAS,Guard,3513.5,65,86,544,1238,271,413,1445,750,763,312,89,23,0.315,0.656,0.439,2020-21
Luka Dončić,DAL,Forward-Guard,3331.9,66,192,647,1351,344,471,1830,527,567,281,64,36,0.35,0.73,0.479,2020-21
Giannis Antetokounmpo,MIL,Forward,3285.7,61,67,626,1100,398,581,1717,671,357,207,72,73,0.303,0.685,0.569,2020-21
Nikola Vučević,CHI,Center,3235.9,70,176,666,1396,131,156,1639,817,269,126,65,48,0.4,0.84,0.477,2020-21
Julius Randle,NYK,Forward-Center,3226.3,71,160,602,1321,348,429,1712,724,427,241,64,18,0.411,0.811,0.456,2020-21
Damian Lillard,POR,Guard,3059.1,67,275,602,1334,449,484,1928,283,505,203,62,17,0.391,0.928,0.451,2020-21
Stephen Curry,GSW,Guard,3015.5,63,337,658,1365,362,395,2015,345,363,213,77,8,0.421,0.916,0.482,2020-21
Domantas Sabonis,IND,Forward-Center,2886.9,62,52,484,904,240,328,1260,742,415,213,76,33,0.321,0.732,0.535,2020-21
Rudy Gobert,UTA,Center,2872.5,71,0,391,579,233,374,1015,960,89,118,40,190,0.0,0.623,0.675,2020-21
Jayson Tatum,BOS,Forward-Guard,2819.4,64,187,605,1318,295,340,1692,472,276,171,75,31,0.386,0.868,0.459,2020-21
Trae Young,ATL,Guard,2713.0,63,136,487,1112,484,546,1594,245,594,261,53,12,0.343,0.886,0.438,2020-21
Bradley Beal,WAS,Guard,2701.1,60,130,670,1382,408,459,1878,283,265,187,69,22,0.349,0.889,0.485,2020-21
Bam Adebayo,MIA,Center-Forward,2657.6,64,2,456,800,283,354,1197,573,346,169,75,66,0.25,0.799,0.57,2020-21
Chris Paul,PHX,Guard,2654.4,70,102,439,879,169,181,1149,312,622,156,99,19,0.395,0.934,0.499,2020-21
